"Estación","Provincia","Temperatura máxima (ºC)","Temperatura mínima (ºC)","Temperatura media (ºC)","Racha (km/h)","Velocidad máxima (km/h)","Precipitación 00-24h (mm)","Precipitación 00-06h (mm)","Precipitación 06-12h (mm)","Precipitación 12-18h (mm)","Precipitación 18-24h (mm)"
"Sardón de Duero","Valladolid","20.9 (17:20)","-10.1 (08:20)","5.4","17 (12:30)","9 (12:30)","0","0","0","0","0"
"Pedraza","Segovia","15.9 (14:30)","2.2 (08:40)","9","26 (13:00)","16 (00:10)","0","0","0","0","0"
"Cuéllar","Segovia","19.4 (16:10)","-10.4 (08:10)","4.5","19 (16:00)","17 (18:30)","0","0","0","0","0"
"Cervera de Pisuerga","Palencia","17.1 (14:50)","2.6 (00:20)","9.9","23 (04:00)","17 (11:40)","0","0","0","0","0"
"Aguilar de Campoo","Palencia","15.7 (16:00)","-6.6 (08:20)","4.5","18 (14:50)","10 (23:40)","0","0","0","0","0"
"Villaeles de Valdavia","Palencia","16.1 (16:20)","-2.1 (08:40)","7","24 (01:10)","14 (01:10)","0","0","0","0","0"
"Villadiego","Burgos","18.6 (15:00)","1.4 (01:10)","10","26 (01:10)","23 (04:10)","0","0","0","0","0"
"Pedrosa del Príncipe","Burgos","17.1 (16:00)","-6.5 (06:40)","5.3","14 (20:30)","10 (20:40)","0","0","0","0","0"
"Ólvega","Soria","19.2 (14:20)","-3.6 (06:00)","7.8","18 (12:40)","10 (05:00)","0","0","0","0","0"
"Palacios de la Sierra","Burgos","17.8 (16:20)","-7.4 (08:20)","5.2","24 (08:10)","16 (03:30)","0","0","0","0","0"
"Monterrubio de la Demanda","Burgos","15.7 (15:00)","-3.9 (05:30)","5.9","23 (18:50)","18 (17:10)","0","0","0","0","0"
"Villamayor de los Montes","Burgos","17.5 (15:10)","-5.3 (08:50)","6.1","16 (23:10)","8 (23:10)","0","0","0","0","0"
"Burgos Aeropuerto","Burgos","15.8 (15:10)","-5.9 (08:00)","5","23 (03:00)","19 (03:00)","0","0","0","0","0"
"Velilla del Río Carrión, Camporredondo de Alba","Palencia","13.9 (12:20)","2.8 (22:10)","8.3","24 (00:20)","17 (00:20)","0","0","0","0","0"
"Carrión de los Condes","Palencia","15.5 (16:10)","-5.7 (08:10)","4.9","36 (01:10)","12 (01:10)","0","0","0","0","0"
"Autilla del Pino","Palencia","15.7 (17:40)","-3.5 (08:30)","6.1","24 (01:00)","22 (01:00)","0","0","0","0","0"
"Palencia","Palencia","17.1 (16:20)","-7.0 (08:20)","5.1","10 (11:50)","8 (11:40)","0","0","0","0","0"
"Valladolid","Valladolid","14.4 (16:10)","-3.6 (08:30)","5.4","16 (02:40)","6 (19:30)","0","0","0","0","0"
"Muñotello","Ávila","13.7 (15:00)","-1.3 (02:30)","6.2","33 (13:20)","22 (13:20)","0","0","0","0","0"
